app	ncores	wall_time mean (s)	wall_time stdev (s)	cpu_time mean (s)	cpu_time stdev (s)	peak_mem mean (kB)	peak_mem stdev (kB)
bcftools-2b	1	693	18	861	85	434553	345
cellsnp-lite-2b	1	218	2	226	3	81867	674
bcftools-2b	2	743	41	920	129	435557	251
cellsnp-lite-2b	2	164	4	257	8	228959	1100
bcftools-2b	4	730	46	908	123	437199	250
cellsnp-lite-2b	4	103	4	254	12	272327	19032
bcftools-2b	8	746	70	980	161	445781	8421
cellsnp-lite-2b	8	79	4	270	20	319613	14509
