app	ncores	wall_time mean (s)	wall_time stdev (s)	cpu_time mean (s)	cpu_time stdev (s)	peak_mem mean (kB)	peak_mem stdev (kB)
cellSNP	8	71255	6113	427230	34093	181646632	1902
cellsnp-lite	8	5724	73	29647	1612	28050509	118757
freebayes	8	71948	450	555454	3862	14065464	21293
cellSNP	16	47728	1320	440410	30607	181650844	1617
cellsnp-lite	16	3770	19	27610	1300	28444697	6669
freebayes	16	36883	2996	575093	47516	21217216	164490
cellSNP	32	48715	2386	469314	39038	181658971	2431
cellsnp-lite	32	3235	117	28571	1329	29062989	1760
freebayes	32	23088	1846	655336	50643	33037132	63521
