st_flt	mtx_type	nrows	total_rows	row_ratio
0.8	a	105340	105982	0.993942367571852
0.8	r	211941	213273	0.993754483689919
0.9	a	104829	105982	0.989120794097111
0.9	r	210808	213273	0.988442043765502
0.95	a	104452	105982	0.985563586269366
0.95	r	209858	213273	0.983987659009814
0.99	a	103752	105982	0.978958691098488
0.99	r	208306	213273	0.976710600966836
