st_flt	mtx_type	nrows	total_rows	row_ratio
0.8	a	340694	343381	0.992174872808921
0.8	r	713296	719572	0.991278148677269
0.9	a	337903	343381	0.984046875045503
0.9	r	706228	719572	0.981455643076718
0.95	a	335744	343381	0.977759398452448
0.95	r	700403	719572	0.973360553217746
0.99	a	331182	343381	0.964473864308159
0.99	r	687808	719572	0.955857092827403
