st_flt	mtx_type	nrows	total_rows	row_ratio
0.01	a	105905	105982	0.999273461531203
0.01	r	213118	213273	0.999273231960914
0.05	a	105965	105982	0.999839595402993
0.05	r	213239	213273	0.999840579914007
0.1	a	105972	105982	0.999905644354702
0.1	r	213260	213273	0.999939045261238
0.2	a	105976	105982	0.999943386612821
0.2	r	213267	213273	0.999971867043648
