app	ncores	wall_time mean (s)	wall_time stdev (s)	cpu_time mean (s)	cpu_time stdev (s)	peak_mem mean (kB)	peak_mem stdev (kB)
cellSNP	8	28057	1250	134564	1068	32192187	15747
cellsnp-lite	8	2725	70	15415	348	867413	36389
vartrix	8	17392	453	92697	2332	8656351	13756
cellSNP	16	22339	472	161902	11778	60260081	21239
cellsnp-lite	16	1907	327	17542	3429	1083971	77147
vartrix	16	12144	1008	105216	8010	8651979	160329
cellSNP	32	18246	3838	203048	4224	116440064	179576
cellsnp-lite	32	1015	15	17737	191	1266509	19152
vartrix	32	6981	778	110514	11300	8792985	43348
